"subject" "activity" "average" "variable"
1 "LAYING" -0.8621901854 "Freq__Gyroscope__Magnitude__Mean"
1 "LAYING" -0.82431943968 "Freq__Gyroscope__Magnitude__SD"
1 "LAYING" -0.9423669466 "Freq__Gyroscope_Jerk_Magnitude__Mean"
1 "LAYING" -0.9326606676 "Freq__Gyroscope_Jerk_Magnitude__SD"
1 "LAYING" -0.9390990524 "Freq_Body_Accelerometer___X_Mean"
1 "LAYING" -0.86706520518 "Freq_Body_Accelerometer___Y_Mean"
1 "LAYING" -0.8826668762 "Freq_Body_Accelerometer___Z_Mean"
1 "LAYING" -0.9244374346 "Freq_Body_Accelerometer___X_SD"
1 "LAYING" -0.8336255561 "Freq_Body_Accelerometer___Y_SD"
1 "LAYING" -0.81289155944 "Freq_Body_Accelerometer___Z_SD"
1 "LAYING" -0.8617676481 "Freq_Body_Accelerometer__Magnitude__Mean"
1 "LAYING" -0.7983009404 "Freq_Body_Accelerometer__Magnitude__SD"
1 "LAYING" -0.9570738838 "Freq_Body_Accelerometer_Jerk__X_Mean"
1 "LAYING" -0.9224626098 "Freq_Body_Accelerometer_Jerk__Y_Mean"
1 "LAYING" -0.9480609042 "Freq_Body_Accelerometer_Jerk__Z_Mean"
1 "LAYING" -0.9641607086 "Freq_Body_Accelerometer_Jerk__X_SD"
1 "LAYING" -0.9322178704 "Freq_Body_Accelerometer_Jerk__Y_SD"
1 "LAYING" -0.9605869872 "Freq_Body_Accelerometer_Jerk__Z_SD"
1 "LAYING" -0.9333003608 "Freq_Body_Accelerometer_Jerk_Magnitude__Mean"
1 "LAYING" -0.9218039756 "Freq_Body_Accelerometer_Jerk_Magnitude__SD"
1 "SITTING" -0.045350056512766 "Time__Gyroscope___X_Mean"
1 "SITTING" -0.0919241549361702 "Time__Gyroscope___Y_Mean"
1 "SITTING" 0.0629313811914894 "Time__Gyroscope___Z_Mean"
1 "SITTING" -0.977211283191489 "Time__Gyroscope___X_SD"
1 "SITTING" -0.966473895319149 "Time__Gyroscope___Y_SD"
1 "SITTING" -0.941425920851064 "Time__Gyroscope___Z_SD"
1 "SITTING" -0.93089249 "Time__Gyroscope__Magnitude__Mean"
1 "SITTING" -0.934531840425532 "Time__Gyroscope__Magnitude__SD"
1 "SITTING" -0.0936793807234042 "Time__Gyroscope_Jerk__X_Mean"
1 "SITTING" -0.0402118124255319 "Time__Gyroscope_Jerk__Y_Mean"
1 "SITTING" -0.046702627 "Time__Gyroscope_Jerk__Z_Mean"
1 "SITTING" -0.99173159212766 "Time__Gyroscope_Jerk__X_SD"
1 "SITTING" -0.989518068510638 "Time__Gyroscope_Jerk__Y_SD"
1 "SITTING" -0.987935806382979 "Time__Gyroscope_Jerk__Z_SD"
1 "SITTING" -0.991976341276596 "Time__Gyroscope_Jerk_Magnitude__Mean"
1 "SITTING" -0.988308728510638 "Time__Gyroscope_Jerk_Magnitude__SD"
1 "SITTING" 0.261237565425532 "Time_Body_Accelerometer___X_Mean"
1 "SITTING" -0.00130828765170213 "Time_Body_Accelerometer___Y_Mean"
1 "SITTING" -0.104544182255319 "Time_Body_Accelerometer___Z_Mean"
1 "SITTING" -0.977229008297872 "Time_Body_Accelerometer___X_SD"
1 "SITTING" -0.922618641914894 "Time_Body_Accelerometer___Y_SD"
1 "SITTING" -0.93958629106383 "Time_Body_Accelerometer___Z_SD"
1 "SITTING" -0.948536786170213 "Time_Body_Accelerometer__Magnitude__Mean"
1 "SITTING" -0.927078418723404 "Time_Body_Accelerometer__Magnitude__SD"
1 "SITTING" 0.0774825199574468 "Time_Body_Accelerometer_Jerk__X_Mean"
1 "SITTING" -0.000619102785106384 "Time_Body_Accelerometer_Jerk__Y_Mean"
1 "SITTING" -0.00336779235021277 "Time_Body_Accelerometer_Jerk__Z_Mean"
1 "SITTING" -0.986430711276596 "Time_Body_Accelerometer_Jerk__X_SD"
1 "SITTING" -0.981371965319149 "Time_Body_Accelerometer_Jerk__Y_SD"
1 "SITTING" -0.987910804468085 "Time_Body_Accelerometer_Jerk__Z_SD"
1 "SITTING" -0.987364195531915 "Time_Body_Accelerometer_Jerk_Magnitude__Mean"
1 "SITTING" -0.984120024042553 "Time_Body_Accelerometer_Jerk_Magnitude__SD"
1 "SITTING" 0.831509933404255 "Time_Gravity_Accelerometer___X_Mean"
1 "SITTING" 0.204411592680851 "Time_Gravity_Accelerometer___Y_Mean"
1 "SITTING" 0.332043702765957 "Time_Gravity_Accelerometer___Z_Mean"
1 "SITTING" -0.968457145744681 "Time_Gravity_Accelerometer___X_SD"
1 "SITTING" -0.935517055957447 "Time_Gravity_Accelerometer___Y_SD"
1 "SITTING" -0.949040933191489 "Time_Gravity_Accelerometer___Z_SD"
1 "SITTING" -0.948536786170213 "Time_Gravity_Accelerometer__Magnitude__Mean"
1 "SITTING" -0.927078418723404 "Time_Gravity_Accelerometer__Magnitude__SD"
1 "SITTING" -0.976161464042553 "Freq__Gyroscope___X_Mean"
1 "SITTING" -0.975838585319149 "Freq__Gyroscope___Y_Mean"
1 "SITTING" -0.951315544468085 "Freq__Gyroscope___Z_Mean"
1 "SITTING" -0.977904227021277 "Freq__Gyroscope___X_SD"
1 "SITTING" -0.962345042553192 "Freq__Gyroscope___Y_SD"
1 "SITTING" -0.94391784106383 "Freq__Gyroscope___Z_SD"
1 "SITTING" -0.958435589361702 "Freq__Gyroscope__Magnitude__Mean"
1 "SITTING" -0.932198374893617 "Freq__Gyroscope__Magnitude__SD"
1 "SITTING" -0.989797547234043 "Freq__Gyroscope_Jerk_Magnitude__Mean"
1 "SITTING" -0.987049617234042 "Freq__Gyroscope_Jerk_Magnitude__SD"
1 "SITTING" -0.979641238723404 "Freq_Body_Accelerometer___X_Mean"
1 "SITTING" -0.944084550425532 "Freq_Body_Accelerometer___Y_Mean"
1 "SITTING" -0.959184889148936 "Freq_Body_Accelerometer___Z_Mean"
1 "SITTING" -0.976412313191489 "Freq_Body_Accelerometer___X_SD"
1 "SITTING" -0.917275006382979 "Freq_Body_Accelerometer___Y_SD"
1 "SITTING" -0.934469558085106 "Freq_Body_Accelerometer___Z_SD"
1 "SITTING" -0.947782922553192 "Freq_Body_Accelerometer__Magnitude__Mean"
1 "SITTING" -0.928444801702128 "Freq_Body_Accelerometer__Magnitude__SD"
1 "SITTING" -0.986597022553191 "Freq_Body_Accelerometer_Jerk__X_Mean"
1 "SITTING" -0.981579467021277 "Freq_Body_Accelerometer_Jerk__Y_Mean"
1 "SITTING" -0.986053092340426 "Freq_Body_Accelerometer_Jerk__Z_Mean"
1 "SITTING" -0.987492994468085 "Freq_Body_Accelerometer_Jerk__X_SD"
1 "SITTING" -0.982513909574468 "Freq_Body_Accelerometer_Jerk__Y_SD"
1 "SITTING" -0.988339184893617 "Freq_Body_Accelerometer_Jerk__Z_SD"
1 "SITTING" -0.985262126808511 "Freq_Body_Accelerometer_Jerk_Magnitude__Mean"
1 "SITTING" -0.981606177446808 "Freq_Body_Accelerometer_Jerk_Magnitude__SD"
1 "STANDING" -0.0239877347979245 "Time__Gyroscope___X_Mean"
1 "STANDING" -0.0593972209811321 "Time__Gyroscope___Y_Mean"
1 "STANDING" 0.074800751 "Time__Gyroscope___Z_Mean"
1 "STANDING" -0.987191946603774 "Time__Gyroscope___X_SD"
1 "STANDING" -0.98773444 "Time__Gyroscope___Y_SD"
1 "STANDING" -0.980645626981132 "Time__Gyroscope___Z_SD"
1 "STANDING" -0.976493792830189 "Time__Gyroscope__Magnitude__Mean"
1 "STANDING" -0.978690028679245 "Time__Gyroscope__Magnitude__SD"
1 "STANDING" -0.0996092129056604 "Time__Gyroscope_Jerk__X_Mean"
1 "STANDING" -0.0440627877924528 "Time__Gyroscope_Jerk__Y_Mean"
1 "STANDING" -0.0489505466716981 "Time__Gyroscope_Jerk__Z_Mean"
1 "STANDING" -0.992945106981132 "Time__Gyroscope_Jerk__X_SD"
1 "STANDING" -0.995137917358491 "Time__Gyroscope_Jerk__Y_SD"
1 "STANDING" -0.992108467169811 "Time__Gyroscope_Jerk__Z_SD"
1 "STANDING" -0.994966790566038 "Time__Gyroscope_Jerk_Magnitude__Mean"
1 "STANDING" -0.994733238679245 "Time__Gyroscope_Jerk_Magnitude__SD"
1 "STANDING" 0.278917629056604 "Time_Body_Accelerometer___X_Mean"
1 "STANDING" -0.0161375901037736 "Time_Body_Accelerometer___Y_Mean"
1 "STANDING" -0.110601817735849 "Time_Body_Accelerometer___Z_Mean"
1 "STANDING" -0.995759901509434 "Time_Body_Accelerometer___X_SD"
1 "STANDING" -0.973190056415094 "Time_Body_Accelerometer___Y_SD"
1 "STANDING" -0.979775876981132 "Time_Body_Accelerometer___Z_SD"
1 "STANDING" -0.98427820735849 "Time_Body_Accelerometer__Magnitude__Mean"
1 "STANDING" -0.981942928867925 "Time_Body_Accelerometer__Magnitude__SD"
1 "STANDING" 0.0753766542264151 "Time_Body_Accelerometer_Jerk__X_Mean"
1 "STANDING" 0.00797573092830189 "Time_Body_Accelerometer_Jerk__Y_Mean"
1 "STANDING" -0.00368524954709434 "Time_Body_Accelerometer_Jerk__Z_Mean"
1 "STANDING" -0.994604542264151 "Time_Body_Accelerometer_Jerk__X_SD"
1 "STANDING" -0.98564873245283 "Time_Body_Accelerometer_Jerk__Y_SD"
1 "STANDING" -0.992251177358491 "Time_Body_Accelerometer_Jerk__Z_SD"
1 "STANDING" -0.992367790566038 "Time_Body_Accelerometer_Jerk_Magnitude__Mean"
1 "STANDING" -0.993096209433962 "Time_Body_Accelerometer_Jerk_Magnitude__SD"
1 "STANDING" 0.942952000377358 "Time_Gravity_Accelerometer___X_Mean"
1 "STANDING" -0.272983832264151 "Time_Gravity_Accelerometer___Y_Mean"
1 "STANDING" 0.0134905823226415 "Time_Gravity_Accelerometer___Z_Mean"
1 "STANDING" -0.99376298509434 "Time_Gravity_Accelerometer___X_SD"
1 "STANDING" -0.981225957924528 "Time_Gravity_Accelerometer___Y_SD"
1 "STANDING" -0.976324063584906 "Time_Gravity_Accelerometer___Z_SD"
1 "STANDING" -0.98427820735849 "Time_Gravity_Accelerometer__Magnitude__Mean"
1 "STANDING" -0.981942928867925 "Time_Gravity_Accelerometer__Magnitude__SD"
1 "STANDING" -0.986386786037736 "Freq__Gyroscope___X_Mean"
1 "STANDING" -0.988984455849057 "Freq__Gyroscope___Y_Mean"
1 "STANDING" -0.980773122830189 "Freq__Gyroscope___Z_Mean"
1 "STANDING" -0.987497128679245 "Freq__Gyroscope___X_SD"
1 "STANDING" -0.987107727735849 "Freq__Gyroscope___Y_SD"
1 "STANDING" -0.98234533 "Freq__Gyroscope___Z_SD"
1 "STANDING" -0.984617623396226 "Freq__Gyroscope__Magnitude__Mean"
1 "STANDING" -0.978466072075472 "Freq__Gyroscope__Magnitude__SD"
1 "STANDING" -0.994815376981132 "Freq__Gyroscope_Jerk_Magnitude__Mean"
1 "STANDING" -0.994671123207547 "Freq__Gyroscope_Jerk_Magnitude__SD"
1 "STANDING" -0.99524993264151 "Freq_Body_Accelerometer___X_Mean"
1 "STANDING" -0.977070847735849 "Freq_Body_Accelerometer___Y_Mean"
1 "STANDING" -0.985297098679245 "Freq_Body_Accelerometer___Z_Mean"
1 "STANDING" -0.99602834509434 "Freq_Body_Accelerometer___X_SD"
1 "STANDING" -0.972293102075472 "Freq_Body_Accelerometer___Y_SD"
1 "STANDING" -0.977937259622642 "Freq_Body_Accelerometer___Z_SD"
1 "STANDING" -0.985356361132075 "Freq_Body_Accelerometer__Magnitude__Mean"
1 "STANDING" -0.982313804716981 "Freq_Body_Accelerometer__Magnitude__SD"
1 "STANDING" -0.994630797358491 "Freq_Body_Accelerometer_Jerk__X_Mean"
1 "STANDING" -0.985418704528302 "Freq_Body_Accelerometer_Jerk__Y_Mean"
1 "STANDING" -0.990752166037736 "Freq_Body_Accelerometer_Jerk__Z_Mean"
1 "STANDING" -0.995073759245283 "Freq_Body_Accelerometer_Jerk__X_SD"
1 "STANDING" -0.987018226792453 "Freq_Body_Accelerometer_Jerk__Y_SD"
1 "STANDING" -0.992349818113207 "Freq_Body_Accelerometer_Jerk__Z_SD"
1 "STANDING" -0.99254247754717 "Freq_Body_Accelerometer_Jerk_Magnitude__Mean"
1 "STANDING" -0.992536003396226 "Freq_Body_Accelerometer_Jerk_Magnitude__SD"
1 "WALKING" -0.041830963526 "Time__Gyroscope___X_Mean"
1 "WALKING" -0.0695300462115789 "Time__Gyroscope___Y_Mean"
1 "WALKING" 0.0849448173042105 "Time__Gyroscope___Z_Mean"
1 "WALKING" -0.473535485894737 "Time__Gyroscope___X_SD"
1 "WALKING" -0.0546077686594737 "Time__Gyroscope___Y_SD"
1 "WALKING" -0.344266629473684 "Time__Gyroscope___Z_SD"
1 "WALKING" -0.160979552536842 "Time__Gyroscope__Magnitude__Mean"
1 "WALKING" -0.186978364526316 "Time__Gyroscope__Magnitude__SD"
1 "WALKING" -0.0899975423705263 "Time__Gyroscope_Jerk__X_Mean"
1 "WALKING" -0.0398428709463158 "Time__Gyroscope_Jerk__Y_Mean"
1 "WALKING" -0.0461309295021053 "Time__Gyroscope_Jerk__Z_Mean"
1 "WALKING" -0.207421854757895 "Time__Gyroscope_Jerk__X_SD"
1 "WALKING" -0.304468510631579 "Time__Gyroscope_Jerk__Y_SD"
1 "WALKING" -0.404255452631579 "Time__Gyroscope_Jerk__Z_SD"
1 "WALKING" -0.298703679084211 "Time__Gyroscope_Jerk_Magnitude__Mean"
1 "WALKING" -0.325324878894737 "Time__Gyroscope_Jerk_Magnitude__SD"
1 "WALKING" 0.277330758736842 "Time_Body_Accelerometer___X_Mean"
1 "WALKING" -0.0173838185273684 "Time_Body_Accelerometer___Y_Mean"
1 "WALKING" -0.111148103547368 "Time_Body_Accelerometer___Z_Mean"
1 "WALKING" -0.283740258842105 "Time_Body_Accelerometer___X_SD"
1 "WALKING" 0.114461336747368 "Time_Body_Accelerometer___Y_SD"
1 "WALKING" -0.260027902210526 "Time_Body_Accelerometer___Z_SD"
1 "WALKING" -0.136971176556842 "Time_Body_Accelerometer__Magnitude__Mean"
1 "WALKING" -0.219688645631579 "Time_Body_Accelerometer__Magnitude__SD"
1 "WALKING" 0.0740416333157895 "Time_Body_Accelerometer_Jerk__X_Mean"
1 "WALKING" 0.0282721095884211 "Time_Body_Accelerometer_Jerk__Y_Mean"
1 "WALKING" -0.00416840617789474 "Time_Body_Accelerometer_Jerk__Z_Mean"
1 "WALKING" -0.113615602435789 "Time_Body_Accelerometer_Jerk__X_SD"
1 "WALKING" 0.0670025007684211 "Time_Body_Accelerometer_Jerk__Y_SD"
1 "WALKING" -0.502699788526316 "Time_Body_Accelerometer_Jerk__Z_SD"
1 "WALKING" -0.141428809031579 "Time_Body_Accelerometer_Jerk_Magnitude__Mean"
1 "WALKING" -0.0744717500625263 "Time_Body_Accelerometer_Jerk_Magnitude__SD"
1 "WALKING" 0.935223201473684 "Time_Gravity_Accelerometer___X_Mean"
1 "WALKING" -0.282165021263158 "Time_Gravity_Accelerometer___Y_Mean"
1 "WALKING" -0.068102864 "Time_Gravity_Accelerometer___Z_Mean"
1 "WALKING" -0.976609642526316 "Time_Gravity_Accelerometer___X_SD"
1 "WALKING" -0.971305961473684 "Time_Gravity_Accelerometer___Y_SD"
1 "WALKING" -0.947717226105263 "Time_Gravity_Accelerometer___Z_SD"
1 "WALKING" -0.136971176556842 "Time_Gravity_Accelerometer__Magnitude__Mean"
1 "WALKING" -0.219688645631579 "Time_Gravity_Accelerometer__Magnitude__SD"
1 "WALKING" -0.339032197115789 "Freq__Gyroscope___X_Mean"
1 "WALKING" -0.103059416434737 "Freq__Gyroscope___Y_Mean"
1 "WALKING" -0.255940940315789 "Freq__Gyroscope___Z_Mean"
1 "WALKING" -0.516691938736842 "Freq__Gyroscope___X_SD"
1 "WALKING" -0.0335081597884211 "Freq__Gyroscope___Y_SD"
1 "WALKING" -0.436562227473684 "Freq__Gyroscope___Z_SD"
1 "WALKING" -0.199252568986316 "Freq__Gyroscope__Magnitude__Mean"
1 "WALKING" -0.321017953894737 "Freq__Gyroscope__Magnitude__SD"
1 "WALKING" -0.319308593778947 "Freq__Gyroscope_Jerk_Magnitude__Mean"
1 "WALKING" -0.381601911789474 "Freq__Gyroscope_Jerk_Magnitude__SD"
1 "WALKING" -0.202794306326316 "Freq_Body_Accelerometer___X_Mean"
1 "WALKING" 0.0897127264021053 "Freq_Body_Accelerometer___Y_Mean"
1 "WALKING" -0.331560117789474 "Freq_Body_Accelerometer___Z_Mean"
1 "WALKING" -0.319134719578947 "Freq_Body_Accelerometer___X_SD"
1 "WALKING" 0.056040006846 "Freq_Body_Accelerometer___Y_SD"
1 "WALKING" -0.279686751494737 "Freq_Body_Accelerometer___Z_SD"
1 "WALKING" -0.128623450629474 "Freq_Body_Accelerometer__Magnitude__Mean"
1 "WALKING" -0.398032586842105 "Freq_Body_Accelerometer__Magnitude__SD"
1 "WALKING" -0.170546964549579 "Freq_Body_Accelerometer_Jerk__X_Mean"
1 "WALKING" -0.0352255241130632 "Freq_Body_Accelerometer_Jerk__Y_Mean"
1 "WALKING" -0.468999224631579 "Freq_Body_Accelerometer_Jerk__Z_Mean"
1 "WALKING" -0.133586606326316 "Freq_Body_Accelerometer_Jerk__X_SD"
1 "WALKING" 0.106739857136 "Freq_Body_Accelerometer_Jerk__Y_SD"
1 "WALKING" -0.534713440421053 "Freq_Body_Accelerometer_Jerk__Z_SD"
1 "WALKING" -0.0571194000343158 "Freq_Body_Accelerometer_Jerk_Magnitude__Mean"
1 "WALKING" -0.103492403002105 "Freq_Body_Accelerometer_Jerk_Magnitude__SD"
1 "WALKING_DOWNSTAIRS" -0.0350781902989796 "Time__Gyroscope___X_Mean"
1 "WALKING_DOWNSTAIRS" -0.0909371290204082 "Time__Gyroscope___Y_Mean"
1 "WALKING_DOWNSTAIRS" 0.0900850142030612 "Time__Gyroscope___Z_Mean"
1 "WALKING_DOWNSTAIRS" -0.458030542938775 "Time__Gyroscope___X_SD"
1 "WALKING_DOWNSTAIRS" -0.126349194938775 "Time__Gyroscope___Y_SD"
1 "WALKING_DOWNSTAIRS" -0.124702454242857 "Time__Gyroscope___Z_SD"
1 "WALKING_DOWNSTAIRS" -0.0757412543673469 "Time__Gyroscope__Magnitude__Mean"
1 "WALKING_DOWNSTAIRS" -0.225724368061224 "Time__Gyroscope__Magnitude__SD"
1 "WALKING_DOWNSTAIRS" -0.0739592036271429 "Time__Gyroscope_Jerk__X_Mean"
1 "WALKING_DOWNSTAIRS" -0.0439902783367347 "Time__Gyroscope_Jerk__Y_Mean"
1 "WALKING_DOWNSTAIRS" -0.0270461061061224 "Time__Gyroscope_Jerk__Z_Mean"
1 "WALKING_DOWNSTAIRS" -0.487027342244898 "Time__Gyroscope_Jerk__X_SD"
1 "WALKING_DOWNSTAIRS" -0.238824827530612 "Time__Gyroscope_Jerk__Y_SD"
1 "WALKING_DOWNSTAIRS" -0.268761480242857 "Time__Gyroscope_Jerk__Z_SD"
1 "WALKING_DOWNSTAIRS" -0.295463843346939 "Time__Gyroscope_Jerk_Magnitude__Mean"
1 "WALKING_DOWNSTAIRS" -0.306510645530612 "Time__Gyroscope_Jerk_Magnitude__SD"
1 "WALKING_DOWNSTAIRS" 0.289188320408163 "Time_Body_Accelerometer___X_Mean"
1 "WALKING_DOWNSTAIRS" -0.00991850461020408 "Time_Body_Accelerometer___Y_Mean"
1 "WALKING_DOWNSTAIRS" -0.107566190908163 "Time_Body_Accelerometer___Z_Mean"
1 "WALKING_DOWNSTAIRS" 0.0300353383483878 "Time_Body_Accelerometer___X_SD"
1 "WALKING_DOWNSTAIRS" -0.0319359434489796 "Time_Body_Accelerometer___Y_SD"
1 "WALKING_DOWNSTAIRS" -0.230434213204082 "Time_Body_Accelerometer___Z_SD"
1 "WALKING_DOWNSTAIRS" 0.0271882914106122 "Time_Body_Accelerometer__Magnitude__Mean"
1 "WALKING_DOWNSTAIRS" 0.0198843506265306 "Time_Body_Accelerometer__Magnitude__SD"
1 "WALKING_DOWNSTAIRS" 0.0541553164897959 "Time_Body_Accelerometer_Jerk__X_Mean"
1 "WALKING_DOWNSTAIRS" 0.0296504490408163 "Time_Body_Accelerometer_Jerk__Y_Mean"
1 "WALKING_DOWNSTAIRS" -0.0109719730183673 "Time_Body_Accelerometer_Jerk__Z_Mean"
1 "WALKING_DOWNSTAIRS" -0.012283860544898 "Time_Body_Accelerometer_Jerk__X_SD"
1 "WALKING_DOWNSTAIRS" -0.101601390640816 "Time_Body_Accelerometer_Jerk__Y_SD"
1 "WALKING_DOWNSTAIRS" -0.345735032326531 "Time_Body_Accelerometer_Jerk__Z_SD"
1 "WALKING_DOWNSTAIRS" -0.0894474807979592 "Time_Body_Accelerometer_Jerk_Magnitude__Mean"
1 "WALKING_DOWNSTAIRS" -0.0257877197081633 "Time_Body_Accelerometer_Jerk_Magnitude__SD"
1 "WALKING_DOWNSTAIRS" 0.931874418979592 "Time_Gravity_Accelerometer___X_Mean"
1 "WALKING_DOWNSTAIRS" -0.266610338979592 "Time_Gravity_Accelerometer___Y_Mean"
1 "WALKING_DOWNSTAIRS" -0.0621199585938776 "Time_Gravity_Accelerometer___Z_Mean"
1 "WALKING_DOWNSTAIRS" -0.950559811632653 "Time_Gravity_Accelerometer___X_SD"
1 "WALKING_DOWNSTAIRS" -0.937018658979592 "Time_Gravity_Accelerometer___Y_SD"
1 "WALKING_DOWNSTAIRS" -0.895939695102041 "Time_Gravity_Accelerometer___Z_SD"
1 "WALKING_DOWNSTAIRS" 0.0271882914106122 "Time_Gravity_Accelerometer__Magnitude__Mean"
1 "WALKING_DOWNSTAIRS" 0.0198843506265306 "Time_Gravity_Accelerometer__Magnitude__SD"
1 "WALKING_DOWNSTAIRS" -0.352449631363265 "Freq__Gyroscope___X_Mean"
1 "WALKING_DOWNSTAIRS" -0.0557022524693878 "Freq__Gyroscope___Y_Mean"
1 "WALKING_DOWNSTAIRS" -0.0318694271979592 "Freq__Gyroscope___Z_Mean"
1 "WALKING_DOWNSTAIRS" -0.495422486102041 "Freq__Gyroscope___X_SD"
1 "WALKING_DOWNSTAIRS" -0.181414728657143 "Freq__Gyroscope___Y_SD"
1 "WALKING_DOWNSTAIRS" -0.238443565306122 "Freq__Gyroscope___Z_SD"
1 "WALKING_DOWNSTAIRS" -0.185720285744898 "Freq__Gyroscope__Magnitude__Mean"
1 "WALKING_DOWNSTAIRS" -0.398350390122449 "Freq__Gyroscope__Magnitude__SD"
1 "WALKING_DOWNSTAIRS" -0.281963359177551 "Freq__Gyroscope_Jerk_Magnitude__Mean"
1 "WALKING_DOWNSTAIRS" -0.391919876612245 "Freq__Gyroscope_Jerk_Magnitude__SD"
1 "WALKING_DOWNSTAIRS" 0.0382291831510204 "Freq_Body_Accelerometer___X_Mean"
1 "WALKING_DOWNSTAIRS" 0.00154990783591837 "Freq_Body_Accelerometer___Y_Mean"
1 "WALKING_DOWNSTAIRS" -0.225574471693878 "Freq_Body_Accelerometer___Z_Mean"
1 "WALKING_DOWNSTAIRS" 0.0243308391387755 "Freq_Body_Accelerometer___X_SD"
1 "WALKING_DOWNSTAIRS" -0.112963739953061 "Freq_Body_Accelerometer___Y_SD"
1 "WALKING_DOWNSTAIRS" -0.297927894693878 "Freq_Body_Accelerometer___Z_SD"
1 "WALKING_DOWNSTAIRS" 0.0965845343040816 "Freq_Body_Accelerometer__Magnitude__Mean"
1 "WALKING_DOWNSTAIRS" -0.186530301073469 "Freq_Body_Accelerometer__Magnitude__SD"
1 "WALKING_DOWNSTAIRS" -0.0276638676122449 "Freq_Body_Accelerometer_Jerk__X_Mean"
1 "WALKING_DOWNSTAIRS" -0.12866715764898 "Freq_Body_Accelerometer_Jerk__Y_Mean"
1 "WALKING_DOWNSTAIRS" -0.288334735714286 "Freq_Body_Accelerometer_Jerk__Z_Mean"
1 "WALKING_DOWNSTAIRS" -0.0863278966402041 "Freq_Body_Accelerometer_Jerk__X_SD"
1 "WALKING_DOWNSTAIRS" -0.134580008877551 "Freq_Body_Accelerometer_Jerk__Y_SD"
1 "WALKING_DOWNSTAIRS" -0.401721464285714 "Freq_Body_Accelerometer_Jerk__Z_SD"
